{'control': [0, 20, 0.1, 0.01, 0.02, 0.05, 0], 'midi': []}
{'control': [0, 20, 0.1, 0.01, 0.03, 0.05, 0], 'midi': []}
{'control': [0, 20, 0.1, 0.01, 0.04, 0.05, 0], 'midi': []}
{'control': [0, 20, 0.1, 0.015, 0.02, 0.05, 0], 'midi': []}
{'control': [0, 20, 0.1, 0.015, 0.03, 0.05, 0], 'midi': []}
{'control': [0, 20, 0.1, 0.015, 0.04, 0.05, 0], 'midi': []}
{'control': [0, 20, 0.1, 0.02, 0.02, 0.05, 0], 'midi': []}
{'control': [0, 20, 0.1, 0.02, 0.03, 0.05, 0], 'midi': []}
{'control': [0, 20, 0.1, 0.02, 0.04, 0.05, 0], 'midi': []}
{'control': [0, 20, 0.1, 0.025, 0.02, 0.05, 0], 'midi': []}
{'control': [0, 20, 0.1, 0.025, 0.03, 0.05, 0], 'midi': []}
{'control': [0, 20, 0.1, 0.025, 0.04, 0.05, 0], 'midi': []}
{'control': [0, 20, 0.1, 0.03, 0.02, 0.05, 0], 'midi': []}
{'control': [0, 20, 0.1, 0.03, 0.03, 0.05, 0], 'midi': []}
{'control': [0, 20, 0.1, 0.03, 0.04, 0.05, 0], 'midi': []}
{'control': [0, 20, 0.1, 0.035, 0.02, 0.05, 0], 'midi': []}
{'control': [0, 20, 0.1, 0.035, 0.03, 0.05, 0], 'midi': []}
{'control': [0, 20, 0.1, 0.035, 0.04, 0.05, 0], 'midi': []}
{'control': [0, 20, 0.1, 0.04, 0.02, 0.05, 0], 'midi': []}
{'control': [0, 20, 0.1, 0.04, 0.03, 0.05, 0], 'midi': []}
{'control': [0, 20, 0.1, 0.04, 0.04, 0.05, 0], 'midi': []}
{'control': [0, 20, 0.1, 0.045000000000000005, 0.02, 0.05, 0], 'midi': []}
{'control': [0, 20, 0.1, 0.045000000000000005, 0.03, 0.05, 0], 'midi': []}
{'control': [0, 20, 0.1, 0.045000000000000005, 0.04, 0.05, 0], 'midi': []}
{'control': [0, 20, 0.1, 0.05, 0.02, 0.05, 0], 'midi': []}
{'control': [0, 20, 0.1, 0.05, 0.03, 0.05, 0], 'midi': []}
{'control': [0, 20, 0.1, 0.05, 0.04, 0.05, 0], 'midi': []}
{'control': [0, 20, 0.1, 0.055, 0.02, 0.05, 0], 'midi': []}
{'control': [0, 20, 0.1, 0.055, 0.03, 0.05, 0], 'midi': []}
{'control': [0, 20, 0.1, 0.055, 0.04, 0.05, 0], 'midi': []}
{'control': [0, 20, 0.1, 0.060000000000000005, 0.02, 0.05, 0], 'midi': []}
{'control': [0, 20, 0.1, 0.060000000000000005, 0.03, 0.05, 0], 'midi': []}
{'control': [0, 20, 0.1, 0.060000000000000005, 0.04, 0.05, 0], 'midi': []}
{'control': [0, 20, 0.1, 0.065, 0.02, 0.05, 0], 'midi': []}
{'control': [0, 20, 0.1, 0.065, 0.03, 0.05, 0], 'midi': []}
{'control': [0, 20, 0.1, 0.065, 0.04, 0.05, 0], 'midi': []}
{'control': [0, 20, 0.1, 0.06999999999999999, 0.02, 0.05, 0], 'midi': []}
{'control': [0, 20, 0.1, 0.06999999999999999, 0.03, 0.05, 0], 'midi': []}
{'control': [0, 20, 0.1, 0.06999999999999999, 0.04, 0.05, 0], 'midi': []}
{'control': [0, 20, 0.1, 0.075, 0.02, 0.05, 0], 'midi': []}
{'control': [0, 20, 0.1, 0.075, 0.03, 0.05, 0], 'midi': []}
{'control': [0, 20, 0.1, 0.075, 0.04, 0.05, 0], 'midi': []}
{'control': [0, 20, 0.1, 0.08, 0.02, 0.05, 0], 'midi': []}
{'control': [0, 20, 0.1, 0.08, 0.03, 0.05, 0], 'midi': []}
{'control': [0, 20, 0.1, 0.08, 0.04, 0.05, 0], 'midi': []}
{'control': [0, 20, 0.5, 0.01, 0.02, 0.05, 0], 'midi': []}
{'control': [0, 20, 0.5, 0.01, 0.03, 0.05, 0], 'midi': []}
{'control': [0, 20, 0.5, 0.01, 0.04, 0.05, 0], 'midi': []}
{'control': [0, 20, 0.5, 0.015, 0.02, 0.05, 0], 'midi': []}
{'control': [0, 20, 0.5, 0.015, 0.03, 0.05, 0], 'midi': []}
{'control': [0, 20, 0.5, 0.015, 0.04, 0.05, 0], 'midi': []}
{'control': [0, 20, 0.5, 0.02, 0.02, 0.05, 0], 'midi': []}
{'control': [0, 20, 0.5, 0.02, 0.03, 0.05, 0], 'midi': []}
{'control': [0, 20, 0.5, 0.02, 0.04, 0.05, 0], 'midi': []}
{'control': [0, 20, 0.5, 0.025, 0.02, 0.05, 0], 'midi': []}
{'control': [0, 20, 0.5, 0.025, 0.03, 0.05, 0], 'midi': []}
{'control': [0, 20, 0.5, 0.025, 0.04, 0.05, 0], 'midi': []}
{'control': [0, 20, 0.5, 0.03, 0.02, 0.05, 0], 'midi': []}
{'control': [0, 20, 0.5, 0.03, 0.03, 0.05, 0], 'midi': []}
{'control': [0, 20, 0.5, 0.03, 0.04, 0.05, 0], 'midi': []}
{'control': [0, 20, 0.5, 0.035, 0.02, 0.05, 0], 'midi': []}
{'control': [0, 20, 0.5, 0.035, 0.03, 0.05, 0], 'midi': []}
{'control': [0, 20, 0.5, 0.035, 0.04, 0.05, 0], 'midi': []}
{'control': [0, 20, 0.5, 0.04, 0.02, 0.05, 0], 'midi': []}
{'control': [0, 20, 0.5, 0.04, 0.03, 0.05, 0], 'midi': []}
{'control': [0, 20, 0.5, 0.04, 0.04, 0.05, 0], 'midi': []}
{'control': [0, 20, 0.5, 0.045000000000000005, 0.02, 0.05, 0], 'midi': []}
{'control': [0, 20, 0.5, 0.045000000000000005, 0.03, 0.05, 0], 'midi': []}
{'control': [0, 20, 0.5, 0.045000000000000005, 0.04, 0.05, 0], 'midi': []}
{'control': [0, 20, 0.5, 0.05, 0.02, 0.05, 0], 'midi': []}
{'control': [0, 20, 0.5, 0.05, 0.03, 0.05, 0], 'midi': []}
{'control': [0, 20, 0.5, 0.05, 0.04, 0.05, 0], 'midi': []}
{'control': [0, 20, 0.5, 0.055, 0.02, 0.05, 0], 'midi': []}
{'control': [0, 20, 0.5, 0.055, 0.03, 0.05, 0], 'midi': []}
{'control': [0, 20, 0.5, 0.055, 0.04, 0.05, 0], 'midi': []}
{'control': [0, 20, 0.5, 0.060000000000000005, 0.02, 0.05, 0], 'midi': []}
{'control': [0, 20, 0.5, 0.060000000000000005, 0.03, 0.05, 0], 'midi': []}
{'control': [0, 20, 0.5, 0.060000000000000005, 0.04, 0.05, 0], 'midi': []}
{'control': [0, 20, 0.5, 0.065, 0.02, 0.05, 0], 'midi': []}
{'control': [0, 20, 0.5, 0.065, 0.03, 0.05, 0], 'midi': []}
{'control': [0, 20, 0.5, 0.065, 0.04, 0.05, 0], 'midi': []}
{'control': [0, 20, 0.5, 0.06999999999999999, 0.02, 0.05, 0], 'midi': []}
{'control': [0, 20, 0.5, 0.06999999999999999, 0.03, 0.05, 0], 'midi': []}
{'control': [0, 20, 0.5, 0.06999999999999999, 0.04, 0.05, 0], 'midi': []}
{'control': [0, 20, 0.5, 0.075, 0.02, 0.05, 0], 'midi': []}
{'control': [0, 20, 0.5, 0.075, 0.03, 0.05, 0], 'midi': []}
{'control': [0, 20, 0.5, 0.075, 0.04, 0.05, 0], 'midi': []}
{'control': [0, 20, 0.5, 0.08, 0.02, 0.05, 0], 'midi': []}
{'control': [0, 20, 0.5, 0.08, 0.03, 0.05, 0], 'midi': []}
{'control': [0, 20, 0.5, 0.08, 0.04, 0.05, 0], 'midi': []}
{'control': [0, 20, 1.0, 0.01, 0.02, 0.05, 0], 'midi': []}
{'control': [0, 20, 1.0, 0.01, 0.03, 0.05, 0], 'midi': []}
{'control': [0, 20, 1.0, 0.01, 0.04, 0.05, 0], 'midi': []}
{'control': [0, 20, 1.0, 0.015, 0.02, 0.05, 0], 'midi': []}
{'control': [0, 20, 1.0, 0.015, 0.03, 0.05, 0], 'midi': []}
{'control': [0, 20, 1.0, 0.015, 0.04, 0.05, 0], 'midi': []}
{'control': [0, 20, 1.0, 0.02, 0.02, 0.05, 0], 'midi': []}
{'control': [0, 20, 1.0, 0.02, 0.03, 0.05, 0], 'midi': []}
{'control': [0, 20, 1.0, 0.02, 0.04, 0.05, 0], 'midi': []}
{'control': [0, 20, 1.0, 0.025, 0.02, 0.05, 0], 'midi': []}
{'control': [0, 20, 1.0, 0.025, 0.03, 0.05, 0], 'midi': []}
{'control': [0, 20, 1.0, 0.025, 0.04, 0.05, 0], 'midi': []}
{'control': [0, 20, 1.0, 0.03, 0.02, 0.05, 0], 'midi': []}
{'control': [0, 20, 1.0, 0.03, 0.03, 0.05, 0], 'midi': []}
{'control': [0, 20, 1.0, 0.03, 0.04, 0.05, 0], 'midi': []}
